acceso_id,pagina_actual,frecuencia_uso,tiempo_desde_ultimo_acceso,reemplazo
188,35,6,798,1
189,4,3,928,1
190,30,8,454,1
191,21,6,15,1
192,49,11,554,1
193,30,9,517,1
194,15,4,92,0
195,9,6,643,1
196,44,1,74,1
197,2,7,93,1
198,29,4,764,1
199,9,7,213,0
200,43,2,143,0
201,20,2,860,1
202,38,4,502,1
203,31,3,650,0
204,6,6,578,0
205,0,4,782,1
206,11,5,182,1
207,11,6,623,1
208,30,10,195,1
209,42,5,657,1
210,42,6,493,1
211,6,7,699,1
212,3,5,413,1
213,39,3,770,1
214,40,2,747,0
215,41,7,525,1
216,3,6,854,0
217,29,5,339,0
218,18,3,879,0
219,31,4,357,0
220,35,7,964,0
221,26,7,881,0
222,36,5,441,0
223,8,12,14,0
224,1,7,793,0
225,3,7,624,1
226,2,8,801,0
227,14,5,891,1
228,6,8,503,0
229,14,6,851,1
230,20,3,386,1
231,44,2,166,1
232,14,7,996,1
233,40,3,141,0
234,47,4,871,0
235,45,5,986,0
236,45,6,124,1
237,36,6,49,1
238,10,5,178,0
239,44,3,243,0
240,15,5,70,1
241,28,3,296,0
242,1,8,794,1
243,12,5,170,1
244,31,5,919,1
245,45,7,90,0
246,31,6,705,1
247,3,8,949,1
248,44,4,533,0
249,44,5,574,0
250,35,8,30,1
251,16,2,489,1
252,22,4,203,0
253,42,7,461,0
254,14,8,466,0
255,33,2,945,0
256,12,6,267,0
257,49,12,427,0
258,44,6,430,0
259,8,13,756,0
260,24,3,31,0
261,24,4,606,1
262,7,6,778,0
263,40,4,740,0
264,20,4,907,0
265,39,4,223,0
266,6,9,820,0
267,27,3,659,1
268,34,2,823,0
269,40,5,194,0
270,19,7,530,1
271,36,7,527,1
272,10,6,90,1
273,46,6,819,1
274,14,9,286,0
275,6,10,290,1
276,5,3,277,1
277,4,4,475,1
278,2,9,529,1
279,4,5,616,0
280,34,3,66,1
281,20,5,259,1
282,6,11,632,0
283,35,9,86,1
284,42,8,54,1
285,43,3,535,0
286,4,6,871,0
287,24,5,539,1
288,26,8,209,1
289,34,4,842,1
290,4,7,375,0
291,12,7,507,1
292,4,8,978,0
293,9,8,615,0
294,6,12,106,1
295,38,5,533,0
296,42,9,544,0
297,8,14,505,1
298,14,10,965,0
299,31,7,200,0
300,23,10,124,0
301,32,5,412,0
302,0,5,83,0
303,24,6,315,0
304,35,10,900,0
305,11,7,758,0
306,26,9,334,1
307,32,6,789,1
308,49,13,851,0
309,39,5,486,1
310,16,3,538,1
311,23,11,744,0
312,35,11,18,1
313,45,8,338,1
314,28,4,112,0
315,11,8,864,1
316,24,7,669,0
317,2,10,358,0
318,10,7,260,1
319,29,6,108,0
320,31,8,10,1
321,12,8,440,1
322,47,5,736,1
323,7,7,552,1
324,6,13,846,1
325,26,10,422,1
326,39,6,183,1
327,5,4,234,0
328,30,11,901,1
329,40,6,887,1
330,28,5,495,0
331,32,7,771,0
332,1,9,712,0
333,1,10,669,1
334,49,14,921,0
335,23,12,199,1
336,6,14,966,1
337,17,2,23,0
338,3,9,232,0
339,17,3,758,0
340,40,7,588,1
341,8,15,439,0
342,30,12,992,0
343,2,11,1,0
344,39,7,976,0
345,43,4,204,0
346,30,13,81,0
347,19,8,371,1
348,19,9,918,0
349,38,6,663,1
350,24,8,523,1
351,45,9,627,0
352,21,7,369,1
353,19,10,42,1
354,46,7,129,0
355,18,4,548,1
356,25,3,25,0
357,46,8,965,1
358,21,8,907,0
359,8,16,810,1
360,14,11,345,1
361,47,6,204,0
362,3,10,394,1
363,17,4,322,0
364,43,5,61,1
365,13,5,304,0
366,30,14,36,1
367,11,9,132,0
368,6,15,550,1
369,5,5,59,1
370,31,9,528,0
371,24,9,826,1
372,20,6,413,0
373,29,7,813,1
374,10,8,936,1
375,45,10,537,0
376,18,5,723,1
377,45,11,34,1
378,34,5,786,1
379,5,6,149,0
380,27,4,445,1
381,2,12,424,1
382,20,7,32,0
383,19,11,746,1
384,25,4,254,1
385,35,12,617,1
386,47,7,1,0
387,4,9,342,1
388,10,9,648,1
389,35,13,931,1
390,31,10,9,1
391,3,11,602,1
392,31,11,610,0
393,35,14,930,0
394,10,10,814,0
395,5,7,701,0
396,40,8,483,0
397,12,9,115,0
398,6,16,81,0
399,15,6,789,0
400,38,7,604,1
401,46,9,50,1
402,4,10,727,0
403,30,15,363,0
404,49,15,170,1
405,19,12,756,0
406,18,6,946,1
407,40,9,539,0
408,24,10,760,0
409,46,10,573,1
410,40,10,414,0
411,5,8,101,1
412,47,8,643,0
413,42,10,289,0
414,26,11,681,0
415,24,11,120,0
416,14,12,628,1
417,33,3,757,1
418,21,9,652,0
419,39,8,156,0
420,17,5,881,0
421,20,8,560,0
422,47,9,74,0
423,44,7,346,0
424,13,6,41,1
425,3,12,194,0
426,24,12,111,1
427,18,7,328,1
428,3,13,879,1
429,16,4,432,0
430,47,10,883,0
431,17,6,442,1
432,13,7,33,0
433,38,8,333,1
434,13,8,235,1
435,29,8,602,0
436,19,13,592,1
437,45,12,440,1
438,17,7,269,0
439,49,16,627,0
440,16,5,639,1
441,42,11,891,1
442,12,10,632,0
443,24,13,59,0
444,1,11,957,0
445,26,12,804,0
446,1,12,291,1
447,28,6,975,1
448,31,12,387,1
449,3,14,326,0
450,48,3,283,1
451,35,15,348,0
452,28,7,587,0
453,1,13,339,1
454,28,8,286,0
455,29,9,272,1
456,30,16,934,0
457,17,8,856,0
458,21,10,599,0
459,24,14,104,0
460,41,8,910,0
461,17,9,851,1
462,3,15,451,1
463,22,5,745,1
464,30,17,854,0
465,20,9,763,0
466,0,6,775,0
467,23,13,219,0
468,18,8,188,0
469,7,8,683,0
470,3,16,995,1
471,19,14,379,0
472,1,14,986,0
473,40,11,202,1
474,0,7,882,1
475,14,13,917,0
476,49,17,776,1
477,2,13,197,0
478,17,10,870,1
479,1,15,713,0
480,14,14,926,0
481,0,8,818,0
482,4,11,693,1
483,2,14,481,1
484,18,9,502,0
485,9,9,545,1
486,6,17,955,0
487,34,6,781,1
488,6,18,461,0
489,28,9,596,1
490,23,14,995,1
491,40,12,626,0
492,1,16,13,0
493,46,11,910,1
494,22,6,392,1
495,45,13,752,1
496,16,6,287,1
497,4,12,886,1
498,49,18,735,1
499,47,11,269,1
500,41,9,812,1
501,25,5,507,0
502,30,18,662,1
503,44,8,622,1
504,8,17,452,0
505,41,10,117,0
506,17,11,450,0
507,45,14,808,1
508,45,15,246,0
509,1,17,245,1
510,41,11,363,0
511,41,12,510,1
512,45,16,376,0
513,46,12,606,1
514,17,12,75,1
515,8,18,955,0
516,23,15,182,1
517,16,7,338,1
518,0,9,593,1
519,22,7,811,1
520,46,13,190,1
521,2,15,602,0
522,42,12,673,1
523,6,19,892,0
524,1,18,268,0
525,31,13,415,1
526,30,19,179,0
527,23,16,502,0
528,48,4,396,1
529,2,16,965,0
530,25,6,884,0
531,37,7,970,0
532,42,13,855,1
533,25,7,503,0
534,29,10,122,0
535,40,13,125,0
536,3,17,410,1
537,41,13,65,1
538,13,9,666,1
539,11,10,115,1
540,11,11,502,0
541,9,10,663,1
542,17,13,590,1
543,16,8,437,0
544,39,9,634,0
545,23,17,482,1
546,47,12,529,1
547,16,9,336,0
548,22,8,454,1
549,19,15,828,1
550,2,17,362,1
551,38,9,902,0
552,7,9,369,1
553,11,12,199,1
554,23,18,47,0
555,36,8,145,1
556,43,6,525,0
557,24,15,335,0
558,7,10,764,1
559,9,11,224,0
560,5,9,354,0
561,28,10,790,1
562,17,14,232,1
563,41,14,837,1
564,47,13,156,1
565,19,16,802,1
566,18,10,381,1
567,11,13,542,1
568,20,10,586,1
569,8,19,437,0
570,39,10,874,0
571,9,12,351,0
572,3,18,381,0
573,48,5,691,0
574,32,8,258,0
575,15,7,942,1
576,8,20,912,1
577,35,16,853,0
578,23,19,421,1
579,16,10,572,0
580,38,10,434,1
581,2,18,794,0
582,49,19,33,0
583,36,9,181,1
584,47,14,754,0
585,36,10,526,0
586,24,16,866,1
587,22,9,317,0
588,4,13,341,0
589,6,20,305,1
590,31,14,985,1
591,20,11,307,0
592,44,9,75,1
593,37,8,573,0
594,2,19,634,0
595,39,11,605,0
596,3,19,185,1
597,34,7,643,0
598,25,8,605,0
599,26,13,197,1
600,24,17,300,0
601,49,20,316,1
602,28,11,841,0
603,45,17,486,0
604,29,11,793,0
605,31,15,895,0
606,4,14,50,0
607,20,12,42,0
608,10,11,901,0
609,42,14,705,1
610,45,18,659,1
611,6,21,422,0
612,3,20,13,1
613,3,21,370,0
614,27,5,970,1
615,6,22,718,1
616,13,10,680,0
617,32,9,33,0
618,11,14,23,1
619,18,11,869,1
620,21,11,817,1
621,32,10,554,0
622,33,4,234,1
623,31,16,626,1
624,29,12,45,0
625,3,22,385,1
626,22,10,67,1
627,3,23,788,0
628,13,11,812,1
629,8,21,586,1
630,24,18,293,0
631,30,20,706,0
632,12,11,344,1
633,47,15,26,1
634,7,11,220,1
635,30,21,860,0
636,13,12,819,0
637,25,9,867,0
638,26,14,602,0
639,42,15,148,0
640,37,9,668,1
641,20,13,3,1
642,4,15,62,1
643,47,16,701,0
644,34,8,557,0
645,10,12,626,0
646,30,22,929,1
647,41,15,657,0
648,41,16,228,1
649,2,20,906,0
650,22,11,307,0
651,12,12,939,1
652,12,13,922,0
653,30,23,899,0
654,25,10,911,1
655,38,11,448,0
656,34,9,265,0
657,47,17,542,0
658,29,13,390,1
659,20,14,300,1
660,23,20,550,1
661,35,17,885,1
662,8,22,46,0
663,3,24,478,0
664,21,12,622,1
665,43,7,572,1
666,20,15,16,1
667,34,10,766,0
668,13,13,165,0
669,20,16,285,0
670,35,18,175,0
671,11,15,331,0
672,23,21,161,1
673,6,23,206,1
674,21,13,268,1
675,47,18,946,0
676,16,11,707,0
677,44,10,977,0
678,9,13,69,1
679,47,19,999,1
680,0,10,628,0
681,11,16,441,0
682,10,13,340,0
683,8,23,10,0
684,16,12,228,0
685,49,21,506,0
686,27,6,354,0
687,17,15,701,0
688,42,16,588,1
689,5,10,144,0
690,27,7,948,1
691,23,22,844,0
692,1,19,874,0
693,26,15,246,0
694,1,20,993,1
695,1,21,221,1
696,48,6,792,1
697,23,23,334,0
698,30,24,821,1
699,7,12,810,0
700,22,12,758,1
701,27,8,293,0
702,47,20,891,1
703,35,19,219,1
704,24,19,332,1
705,47,21,206,1
706,30,25,303,0
707,34,11,386,1
708,16,13,981,0
709,38,12,792,1
710,17,16,733,1
711,21,14,856,1
712,4,16,691,1
713,37,10,689,0
714,14,15,826,1
715,34,12,19,1
716,43,8,121,1
717,12,14,617,0
718,14,16,626,1
719,35,20,87,0
720,16,14,864,1
721,27,9,461,0
722,41,17,436,0
723,25,11,595,0
724,48,7,188,0
725,7,13,650,1
726,33,5,669,1
727,48,8,409,1
728,13,14,158,0
729,13,15,698,1
730,17,17,775,1
731,35,21,692,1
732,39,12,694,1
733,30,26,419,0
734,0,11,232,0
735,41,18,709,1
736,30,27,208,0
737,2,21,82,0
738,24,20,353,0
739,6,24,732,1
740,15,8,928,1
741,9,14,64,1
742,13,16,940,0
743,16,15,308,1
744,10,14,139,0
745,30,28,188,1
746,40,14,104,0
747,41,19,692,1
748,35,22,829,1
749,47,22,608,1
750,40,15,677,0
751,25,12,792,1
752,37,11,411,1
753,22,13,156,1
754,20,17,899,1
755,39,13,860,1
756,32,11,774,0
757,14,17,385,0
758,12,15,101,0
759,45,19,657,1
760,45,20,295,1
761,38,13,780,0
762,2,22,726,1
763,41,20,357,1
764,40,16,369,1
765,20,18,606,0
766,30,29,771,0
767,5,11,593,1
768,16,16,295,1
769,0,12,908,1
770,26,16,260,1
771,49,22,574,0
772,5,12,897,1
773,9,15,879,1
774,49,23,83,1
775,1,22,494,1
776,16,17,227,1
777,44,11,531,1
778,2,23,361,1
779,43,9,326,1
780,44,12,846,1
781,47,23,184,1
782,30,30,203,1
783,27,10,810,1
784,19,17,73,0
785,1,23,591,0
786,36,11,421,1
787,25,13,70,0
788,11,17,400,1
789,48,9,242,0
790,10,15,820,0
791,9,16,285,1
792,32,12,708,1
793,42,17,115,0
794,15,9,26,1
795,16,18,661,0
796,45,21,191,1
797,7,14,299,0
798,0,13,215,0
799,39,14,741,0
800,20,19,679,0
801,26,17,246,0
802,28,12,119,0
803,39,15,870,1
804,15,10,373,0
805,45,22,181,1
806,38,14,191,0
807,20,20,397,0
808,14,18,408,0
809,29,14,682,1
810,35,23,905,1
811,49,24,743,0
812,49,25,336,0
813,27,11,659,0
814,42,18,957,0
815,47,24,959,1
816,16,19,961,1
817,19,18,472,0
818,12,16,911,1
819,12,17,505,1
820,12,18,50,1
821,24,21,282,1
822,34,13,215,1
823,16,20,66,0
824,6,25,810,0
825,45,23,269,0
826,29,15,744,1
827,41,21,859,1
828,46,14,472,1
829,8,24,982,0
830,13,17,778,0
831,17,18,328,0
832,45,24,307,0
833,22,14,681,0
834,30,31,315,0
835,1,24,470,1
836,46,15,904,1
837,34,14,429,0
838,7,15,280,1
839,42,19,208,1
840,5,13,156,0
841,23,24,402,1
842,10,16,795,0
843,34,15,480,0
844,26,18,843,1
845,33,6,28,0
846,0,14,940,1
847,36,12,283,0
848,2,24,481,1
849,9,17,423,1
850,8,25,442,1
851,26,19,585,0
852,43,10,214,0
853,48,10,644,1
854,25,14,987,0
855,20,21,964,0
856,41,22,943,0
857,6,26,55,1
858,13,18,974,0
859,47,25,198,0
860,35,24,790,1
861,44,13,766,0
862,22,15,430,1
863,12,19,804,0
864,7,16,159,1
865,7,17,202,1
866,27,12,546,0
867,17,19,413,1
868,32,13,679,1
869,27,13,912,0
870,4,17,616,0
871,35,25,578,0
872,40,17,693,1
873,44,14,659,1
874,43,11,681,1
875,30,32,301,0
876,19,19,942,0
877,4,18,421,0
878,19,20,419,0
879,30,33,153,1
880,44,15,1000,0
881,40,18,151,1
882,9,18,769,0
883,44,16,783,1
884,25,15,176,0
885,9,19,506,0
886,8,26,525,1
887,11,18,474,1
888,48,11,444,1
889,30,34,306,0
890,16,21,115,1
891,21,15,681,0
892,37,12,644,1
893,3,25,990,1
894,48,12,408,0
895,38,15,190,0
896,41,23,876,1
897,47,26,724,0
898,44,17,989,1
899,21,16,832,0
900,10,17,822,0
901,10,18,175,0
902,12,20,971,0
903,18,12,447,0
904,32,14,451,0
905,4,19,427,1
906,13,19,605,0
907,29,16,336,0
908,11,19,825,1
909,16,22,844,1
910,42,20,178,1
911,45,25,491,1
912,5,14,807,1
913,28,13,433,0
914,30,35,487,1
915,17,20,142,1
916,2,25,807,1
917,22,16,730,1
918,49,26,615,0
919,1,25,425,1
920,2,26,243,0
921,22,17,91,0
922,15,11,59,0
923,48,13,77,1
924,20,22,448,0
925,25,16,126,1
926,42,21,356,1
927,2,27,948,1
928,47,27,885,1
929,7,18,559,1
930,33,7,486,0
931,9,20,969,0
932,16,23,15,0
933,23,25,863,1
934,42,22,266,0
935,21,17,297,0
936,40,19,328,0
937,24,22,419,1
938,14,19,984,1
939,37,13,398,0
940,20,23,281,0
941,3,26,852,1
942,36,13,381,0
943,25,17,160,1
944,43,12,336,0
945,14,20,734,0
946,40,20,989,1
947,23,26,512,0
948,49,27,396,1
949,18,13,730,0
950,26,20,323,1
951,44,18,859,0
952,41,24,622,0
953,3,27,714,1
954,40,21,224,1
955,48,14,840,0
956,36,14,869,1
957,44,19,295,0
958,0,15,360,1
959,9,21,373,0
960,42,23,874,0
961,15,12,523,1
962,31,17,818,0
963,30,36,390,0
964,44,20,149,1
965,20,24,58,1
966,25,18,497,0
967,30,37,489,0
968,0,16,899,1
969,49,28,555,1
970,18,14,5,1
971,8,27,582,0
972,37,14,811,0
973,27,14,747,1
974,1,26,332,0
975,49,29,187,1
976,49,30,162,1
977,2,28,551,0
978,34,16,300,0
979,35,26,170,0
980,28,14,407,1
981,21,18,720,1
982,33,8,796,1
983,7,19,889,0
984,16,24,371,0
985,31,18,440,0
986,46,16,285,1
987,31,19,924,0
988,6,27,797,1
989,26,21,841,0
990,20,25,875,0
991,22,18,718,0
992,12,21,403,0
993,34,17,317,0
994,24,23,371,0
995,47,28,335,0
996,4,20,300,0
997,30,38,456,1
998,38,16,922,1
999,42,24,796,0
1000,30,39,223,0
1001,30,40,387,0
1002,23,27,975,0
1003,34,18,860,0
1004,46,17,266,1
1005,15,13,263,1
1006,4,21,721,1
1007,36,15,199,0
1008,3,28,405,0
1009,47,29,744,1
1010,13,20,172,0
1011,10,19,222,1
1012,10,20,389,1
1013,9,22,688,0
1014,49,31,42,1
1015,34,19,480,0
1016,7,20,894,0
1017,7,21,610,1
1018,1,27,129,1
1019,30,41,886,0
1020,48,15,966,1
1021,26,22,455,1
1022,46,18,575,1
1023,8,28,381,0
1024,14,21,296,0
1025,37,15,468,0
1026,7,22,753,1
1027,6,28,825,1
1028,37,16,356,0
1029,20,26,455,0
1030,20,27,675,1
1031,11,20,405,1
1032,9,23,583,0
1033,33,9,257,1
1034,42,25,535,0
1035,24,24,330,0
1036,40,22,795,0
1037,35,27,256,0
1038,26,23,486,1
1039,42,26,441,1
1040,18,15,234,0
1041,0,17,562,1
1042,26,24,432,0
1043,22,19,69,0
1044,30,42,70,1
1045,12,22,101,1
1046,18,16,74,1
1047,46,19,301,1
1048,45,26,918,0
1049,18,17,455,0
1050,43,13,137,0
1051,13,21,525,1
1052,37,17,109,1
1053,17,21,659,0
1054,44,21,912,0
1055,11,21,950,0
1056,24,25,247,0
1057,10,21,389,1
1058,2,29,457,1
1059,32,15,463,1
1060,30,43,436,1
1061,44,22,782,1
1062,25,19,222,0
1063,47,30,23,1
1064,15,14,711,0
1065,22,20,952,1
1066,45,27,128,1
1067,25,20,654,0
1068,28,15,417,0
1069,30,44,823,0
1070,22,21,466,1
1071,30,45,52,0
1072,1,28,510,1
1073,11,22,520,1
1074,2,30,156,0
1075,29,17,287,0
1076,5,15,526,1
1077,35,28,792,0
1078,41,25,65,0
1079,35,29,125,1
1080,28,16,218,1
1081,21,19,117,1
1082,14,22,421,1
1083,34,20,433,1
1084,8,29,632,0
1085,6,29,610,0
1086,23,28,210,1
1087,38,17,403,0
1088,41,26,166,1
1089,14,23,724,0
1090,28,17,381,1
1091,31,20,223,1
1092,30,46,105,0
1093,48,16,797,0
1094,48,17,176,0
1095,13,22,356,1
1096,24,26,924,1
1097,22,22,809,0
1098,13,23,356,0
1099,20,28,677,0
1100,19,21,360,0
1101,38,18,926,0
1102,42,27,946,0
1103,18,18,86,1
1104,27,15,884,1
1105,32,16,646,1
1106,0,18,631,0
1107,4,22,345,1
1108,17,22,361,1
1109,35,30,596,0
1110,6,30,638,1
1111,46,20,368,1
1112,44,23,811,1
1113,25,21,696,1
1114,3,29,474,1
1115,41,27,919,0
1116,11,23,339,1
1117,14,24,771,1
1118,19,22,724,1
1119,6,31,655,1
1120,3,30,410,0
1121,41,28,645,0
1122,19,23,898,0
1123,17,23,686,1
1124,33,10,783,1
1125,25,22,971,0
1126,35,31,739,0
1127,12,23,990,1
1128,49,32,868,0
1129,4,23,582,1
1130,18,19,131,0
1131,39,16,905,0
1132,43,14,715,1
1133,41,29,54,1
1134,40,23,268,1
1135,23,29,813,0
1136,18,20,814,1
1137,22,23,217,0
1138,36,16,846,1
1139,0,19,54,1
1140,35,32,886,0
1141,10,22,958,0
1142,24,27,226,0
1143,23,30,592,1
1144,27,16,863,1
1145,5,16,781,1
1146,8,30,576,1
1147,45,28,535,1
1148,11,24,970,0
1149,25,23,997,0
1150,15,15,614,0
1151,9,24,70,1
1152,44,24,245,0
1153,17,24,84,0
1154,26,25,38,1
1155,19,24,81,0
1156,29,18,553,1
1157,30,47,90,0
1158,10,23,411,0
1159,40,24,229,0
1160,43,15,592,0
1161,39,17,824,1
1162,9,25,359,0
1163,4,24,358,0
1164,31,21,460,1
1165,17,25,570,1
1166,32,17,852,1
1167,47,31,480,1
1168,34,21,233,1
1169,37,18,181,0
1170,32,18,621,1
1171,20,29,518,1
1172,38,19,142,1
1173,36,17,966,0
1174,38,20,337,0
1175,15,16,694,1
1176,32,19,708,1
1177,21,20,299,1
1178,21,21,156,1
1179,14,25,880,1
1180,27,17,490,1
1181,14,26,536,1
1182,5,17,615,1
1183,7,23,886,0
1184,11,25,760,1
1185,41,30,14,1
1186,48,18,825,0
1187,0,20,12,0
1188,12,24,415,1
1189,20,30,938,0
1190,12,25,983,0
1191,17,26,511,0
1192,0,21,828,0
1193,6,32,346,1
1194,10,24,148,0
1195,14,27,561,0
1196,48,19,291,0
1197,13,24,100,0
1198,3,31,513,0
1199,5,18,707,1
1200,21,22,21,0
1201,12,26,279,1
1202,10,25,508,0
1203,26,26,980,0
1204,19,25,116,0
1205,6,33,93,0
1206,2,31,811,0
1207,1,29,8,1
1208,9,26,20,1
1209,38,21,672,0
1210,1,30,793,1
1211,7,24,363,0
1212,4,25,89,0
1213,44,25,101,1
1214,27,18,201,1
1215,31,22,293,0
1216,20,31,928,0
1217,27,19,193,0
1218,10,26,175,1
1219,37,19,855,0
1220,46,21,945,1
1221,27,20,393,0
1222,43,16,436,0
1223,5,19,60,0
1224,7,25,733,1
1225,31,23,700,1
1226,6,34,500,1
1227,41,31,51,0
1228,48,20,915,0
1229,19,26,79,0
1230,13,25,508,0
1231,37,20,279,0
1232,46,22,106,0
1233,20,32,320,1
1234,34,22,567,0
1235,32,20,996,0
1236,41,32,8,0
1237,1,31,302,1
1238,37,21,526,1
1239,35,33,23,1
1240,18,21,72,1
1241,14,28,316,0
1242,10,27,458,0
1243,7,26,437,1
1244,26,27,531,1
1245,15,17,637,1
1246,46,23,911,1
1247,4,26,387,1
1248,13,26,571,1
1249,7,27,602,1
1250,1,32,748,1
1251,49,33,606,0
1252,36,18,771,1
1253,2,32,440,1
1254,15,18,143,1
1255,37,22,724,0
1256,10,28,159,0
1257,36,19,576,1
1258,2,33,690,1
1259,25,24,458,0
1260,46,24,990,0
1261,32,21,499,0
1262,5,20,225,1
1263,7,28,740,1
1264,31,24,146,0
1265,42,28,93,0
1266,18,22,871,1
1267,9,27,341,0
1268,48,21,358,0
1269,39,18,219,0
1270,28,18,889,1
1271,1,33,840,0
1272,25,25,859,0
1273,38,22,692,1
1274,26,28,465,1
1275,32,22,283,1
1276,31,25,154,0
1277,49,34,444,0
1278,26,29,12,0
1279,43,17,710,1
1280,38,23,657,1
1281,45,29,596,0
1282,34,23,482,1
1283,28,19,34,1
1284,36,20,150,1
1285,8,31,726,1
1286,37,23,406,1
1287,14,29,72,0
1288,48,22,938,1
1289,9,28,929,0
1290,36,21,592,0
1291,3,32,583,1
1292,35,34,423,1
1293,2,34,230,1
1294,42,29,991,0
1295,41,33,954,1
1296,35,35,908,0
1297,42,30,677,0
1298,15,19,737,1
1299,3,33,160,0
1300,13,27,123,0
1301,0,22,121,0
1302,35,36,24,1
1303,49,35,819,0
1304,40,25,41,1
1305,6,35,831,1
1306,29,19,304,1
1307,36,22,862,1
1308,9,29,195,1
1309,44,26,321,1
1310,24,28,84,0
1311,10,29,681,0
1312,22,24,858,0
1313,5,21,391,0
1314,44,27,481,0
1315,47,32,933,1
1316,38,24,314,1
1317,42,31,40,0
1318,46,25,137,0
1319,23,31,896,1
1320,49,36,600,0
1321,20,33,378,0
1322,30,48,724,1
1323,3,34,229,0
1324,20,34,965,0
1325,36,23,277,1
1326,42,32,752,1
1327,21,23,149,1
1328,3,35,304,1
1329,44,28,874,1
1330,33,11,284,0
1331,24,29,113,1
1332,26,30,888,0
1333,4,27,690,0
1334,46,26,68,0
1335,39,19,194,0
1336,42,33,740,0
1337,0,23,25,1
1338,11,26,491,0
1339,21,24,638,0
1340,16,25,572,0
1341,36,24,874,0
1342,10,30,3,0
1343,15,20,14,1
1344,29,20,283,1
1345,42,34,682,1
1346,35,37,87,0
1347,44,29,867,0
1348,37,24,213,1
1349,2,35,673,0
1350,46,27,313,0
1351,44,30,467,0
1352,14,30,74,0
1353,46,28,233,1
1354,24,30,705,0
